,selected_model,mean_accuracy
129,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, n_estimators=50,
              random_state=97, subsample=0.8, use_label_encoder=False)",0.5009900990099011
130,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, random_state=24,
              subsample=0.8, use_label_encoder=False)",0.5366336633663366
131,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, random_state=26,
              subsample=0.8, use_label_encoder=False)",0.5346534653465346
132,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, random_state=49,
              subsample=0.8, use_label_encoder=False)",0.5277227722772277
133,"XGBClassifier(eval_metric='auc', gamma=1, random_state=17, subsample=0.8,
              use_label_encoder=False)",0.5188118811881189
134,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, random_state=5,
              subsample=0.8, use_label_encoder=False)",0.510891089108911
135,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, n_estimators=150,
              random_state=56, subsample=0.8, use_label_encoder=False)",0.5425742574257425
136,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, n_estimators=150,
              random_state=50, subsample=0.8, use_label_encoder=False)",0.5287128712871286
137,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, n_estimators=150,
              random_state=83, subsample=0.8, use_label_encoder=False)",0.5059405940594061
138,"XGBClassifier(eval_metric='auc', gamma=1, n_estimators=150, random_state=76,
              subsample=0.8, use_label_encoder=False)",0.5198019801980199
139,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, n_estimators=150,
              random_state=16, subsample=0.8, use_label_encoder=False)",0.5000000000000001
140,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=4,
              n_estimators=25, random_state=18, subsample=0.8,
              use_label_encoder=False)",0.5356435643564356
141,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=4,
              n_estimators=25, random_state=80, subsample=0.8,
              use_label_encoder=False)",0.5386138613861385
142,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=4,
              n_estimators=25, random_state=91, subsample=0.8,
              use_label_encoder=False)",0.5465346534653465
143,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=4, n_estimators=25,
              random_state=42, subsample=0.8, use_label_encoder=False)",0.5386138613861385
144,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=4,
              n_estimators=25, random_state=62, subsample=0.8,
              use_label_encoder=False)",0.5237623762376238
145,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=4,
              n_estimators=50, random_state=54, subsample=0.8,
              use_label_encoder=False)",0.5306930693069306
146,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=4,
              n_estimators=50, random_state=85, subsample=0.8,
              use_label_encoder=False)",0.5336633663366336
147,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=4,
              n_estimators=50, random_state=83, subsample=0.8,
              use_label_encoder=False)",0.4990099009900991
148,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=4, n_estimators=50,
              random_state=6, subsample=0.8, use_label_encoder=False)",0.5168316831683167
149,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=4,
              n_estimators=50, random_state=66, subsample=0.8,
              use_label_encoder=False)",0.5188118811881187
150,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=4,
              random_state=59, subsample=0.8, use_label_encoder=False)",0.5306930693069306
151,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=4,
              random_state=63, subsample=0.8, use_label_encoder=False)",0.5277227722772277
152,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=4,
              random_state=56, subsample=0.8, use_label_encoder=False)",0.5207920792079209
153,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=4, random_state=47,
              subsample=0.8, use_label_encoder=False)",0.512871287128713
154,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=4,
              random_state=37, subsample=0.8, use_label_encoder=False)",0.5277227722772279
155,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=4,
              n_estimators=150, random_state=57, subsample=0.8,
              use_label_encoder=False)",0.5297029702970297
156,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=4,
              n_estimators=150, random_state=9, subsample=0.8,
              use_label_encoder=False)",0.5217821782178218
157,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=4,
              n_estimators=150, random_state=80, subsample=0.8,
              use_label_encoder=False)",0.5227722772277229
158,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=4, n_estimators=150,
              random_state=69, subsample=0.8, use_label_encoder=False)",0.5198019801980199
159,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=4,
              n_estimators=150, random_state=22, subsample=0.8,
              use_label_encoder=False)",0.5118811881188119
160,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=5,
              n_estimators=25, random_state=37, subsample=0.8,
              use_label_encoder=False)",0.5227722772277229
161,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=5,
              n_estimators=25, random_state=72, subsample=0.8,
              use_label_encoder=False)",0.5178217821782178
162,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=5,
              n_estimators=25, random_state=87, subsample=0.8,
              use_label_encoder=False)",0.5198019801980198
163,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=5, n_estimators=25,
              random_state=33, subsample=0.8, use_label_encoder=False)",0.5118811881188119
164,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=5,
              n_estimators=25, random_state=50, subsample=0.8,
              use_label_encoder=False)",0.5079207920792079
165,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=5,
              n_estimators=50, random_state=56, subsample=0.8,
              use_label_encoder=False)",0.5158415841584159
